multi_target_guides	single_mismatch_guides	pam_distal_single_mismatch_guides	pam_distal_double_mismatch_guides	guides_not_target_anywhere	guides_not_target_exon
sgABCB10_1	sgAADACL2_1	NA	sgA4GNT_1	sgAGAP3_3	sgABHD11_4
sgABCC6_1	sgAAMDC_1	NA	sgABCA6_2	sgCBLB_1	sgABI3BP_3
sgABCC6_2	sgAANAT_1	NA	sgACAT2_2	sgCBWD6_3	sgABLIM1_3
sgABCC6_3	sgAARSD1_2	NA	sgACOT1_2	sgCFHR1_2	sgABLIM2_2
sgABCC6_4	sgAASDHPPT_4	NA	sgACP2_1	sgCFHR3_2	sgACD_4
sgABCE1_1	sgABAT_4	NA	sgACP2_2	sgCGB7_3	sgADAM15_4
sgABCG1_3	sgABCA9_3	NA	sgANKRD50_3	sgCLIC6_3	sgADAM20_2
sgABHD17A_1	sgABCB10_4	NA	sgANKS4B_3	sgDEFB126_4	sgADAM21_3
sgABHD17A_2	sgABCB5_2	NA	sgAP1AR_3	sgDNAJC10_4	sgADAM8_4
sgABHD17A_3	sgABCC8_2	NA	sgAP2M1_3	sgDPEP2_2	sgADCY5_4
sgABHD17A_4	sgABCE1_3	NA	sgAPOBEC1_1	sgF5_1	sgAEBP2_2
sgABHD17C_1	sgABHD14A_1	NA	sgARCN1_1	sgGDF15_3	sgAGT_1
sgACAA2_3	sgABHD16A_3	NA	sgARL8B_4	sgHLA-B_2	sgAHSA2_1
sgACAA2_4	sgABT1_3	NA	sgASGR1_1	sgHLA-DRB1_2	sgAHSA2_2
sgACKR4_1	sgACCSL_3	NA	sgATF7_1	sgHLA-DRB5_1	sgAHSA2_4
sgACKR4_2	sgACER2_2	NA	sgATP6V1G2_1	sgHLA-DRB5_3	sgALOX12_4
sgACKR4_3	sgACER2_3	NA	sgATP7B_2	sgHLA-DRB5_4	sgALPK3_1
sgACKR4_4	sgACER3_3	NA	sgBAHD1_1	sgHTRA1_3	sgALPK3_3
sgACO2_2	sgACER3_4	NA	sgBASP1_3	sgKLRC2_1	sgALPK3_4
sgACO2_3	sgACKR2_3	NA	sgBCL7A_3	sgLAMTOR5_2	sgANAPC7_1
sgACOT1_1	sgACOT13_2	NA	sgBLK_2	sgMCPH1_2	sgANAPC7_3
sgACOT4_2	sgACOT1_3	NA	sgBMI1_4	sgMRPS15_3	sgANK1_1
sgACOT4_4	sgACOT1_4	NA	sgC10orf82_3	sgNFXL1_2	sgANK1_2
sgACSM2A_1	sgACOT2_2	NA	sgC19orf84_2	sgNLRP11_3	sgANK1_3
sgACSM2A_2	sgACOT2_3	NA	sgC19orf84_3	sgOAS1_3	sgANK1_4
sgACSM2A_3	sgACOT4_3	NA	sgC1orf106_2	sgOR10J1_2	sgANKRD2_4
sgACSM5_1	sgACOT7_4	NA	sgC1orf146_1	sgPDHX_4	sgANKRD33_3
